Date,Close/Last,Volume,Open,High,Low
8/10/2020,$166.32 ,1684714,$178.09 ,$178.71 ,$165.32 
8/7/2020,$178.60 ,820138,$173.35 ,$179.35 ,$172.72 
8/6/2020,$172.98 ,836635,$175.97 ,$175.97 ,$170.30 
8/5/2020,$170.42 ,661467,$166.08 ,$170.46 ,$166.08 
8/4/2020,$164.57 ,1003240,$161.68 ,$164.92 ,$161.10 
8/3/2020,$162.67 ,818514,$159.10 ,$162.72 ,$155.05 
7/31/2020,$157.58 ,1066614,$151.50 ,$157.65 ,$151.50 
7/30/2020,$147.84 ,1767385,$150.31 ,$156.53 ,$147.36 
7/29/2020,$139.73 ,700735,$135.88 ,$140.73 ,$135.88 
7/28/2020,$135.31 ,389964,$137.46 ,$139.29 ,$135.22 
7/27/2020,$138.35 ,419420,$135.99 ,$138.51 ,$134.72 
7/24/2020,$135.25 ,388612,$136.23 ,$136.81 ,$134.15 
7/23/2020,$136.82 ,843060,$136 ,$139.49 ,$135 
7/22/2020,$135.54 ,528899,$136.04 ,$137.01 ,$134.37 
7/21/2020,$136.10 ,566302,$137.88 ,$139.91 ,$135.83 
7/20/2020,$136.64 ,495748,$134.76 ,$137.38 ,$134.76 
7/17/2020,$134.81 ,491319,$133.21 ,$135.61 ,$132.71 
7/16/2020,$132.54 ,490058,$133.55 ,$135.54 ,$132.23 
7/15/2020,$133.95 ,811356,$133.66 ,$134.91 ,$132.60 
7/14/2020,$131.13 ,727361,$126.44 ,$131.20 ,$126.02 
7/13/2020,$126.64 ,688337,$128.91 ,$130.51 ,$126.27 
7/10/2020,$127.37 ,393503,$126.28 ,$127.71 ,$125.74 
7/9/2020,$126.61 ,391498,$127.31 ,$127.91 ,$125.18 
7/8/2020,$126.58 ,892094,$124.78 ,$127.00 ,$124.78 
7/7/2020,$124.53 ,673916,$124.09 ,$126.90 ,$123.45 
7/6/2020,$124.89 ,733121,$125.32 ,$126.42 ,$124.05 
7/2/2020,$122.73 ,577876,$121.94 ,$122.96 ,$121.59 
7/1/2020,$121.09 ,968490,$132.09 ,$132.09 ,$120.75 
6/30/2020,$121.93 ,928448,$120 ,$122.36 ,$118.64 
6/29/2020,$118.88 ,876735,$118.37 ,$120.57 ,$116.77 
6/26/2020,$117.75 ,8019414,$115.33 ,$120.13 ,$113.23 
6/25/2020,$114.82 ,987127,$113.74 ,$114.98 ,$111.63 
6/24/2020,$113.27 ,978355,$115.48 ,$116.77 ,$112.57 
6/23/2020,$116.69 ,1228765,$118.18 ,$120.16 ,$116.25 
6/22/2020,$117.02 ,1064845,$112.59 ,$117.07 ,$111.03 
6/19/2020,$113.53 ,915729,$112.83 ,$113.85 ,$110.50 
6/18/2020,$110.72 ,647637,$111.05 ,$114.43 ,$110.34 
6/17/2020,$112.49 ,550029,$114.98 ,$115 ,$111.96 
6/16/2020,$114.76 ,853824,$114.21 ,$114.87 ,$111.12 
6/15/2020,$110.50 ,885346,$102.52 ,$110.95 ,$101.72 
6/12/2020,$105.44 ,1024293,$109.99 ,$109.99 ,$102.38 
6/11/2020,$106.63 ,745374,$109.48 ,$110.16 ,$106.57 
6/10/2020,$113.23 ,646782,$113.19 ,$114.89 ,$112.02 
6/9/2020,$112.97 ,584961,$111.86 ,$114.26 ,$110.53 
6/8/2020,$113.87 ,878529,$114.72 ,$116.14 ,$113.23 
6/5/2020,$114.83 ,698212,$113.87 ,$116.15 ,$111 
6/4/2020,$110.53 ,676073,$112.26 ,$113.19 ,$109.86 
6/3/2020,$112.22 ,791232,$112.16 ,$113.54 ,$111.52 
6/2/2020,$110.49 ,690606,$111.60 ,$111.60 ,$109.50 
6/1/2020,$110.57 ,702324,$111.81 ,$112.76 ,$109.89 
5/29/2020,$111.27 ,1139601,$115.90 ,$116.88 ,$110.64 
5/28/2020,$117.99 ,803495,$122.95 ,$123.19 ,$117.88 
5/27/2020,$122.05 ,1083498,$119.77 ,$122.18 ,$118.61 
5/26/2020,$118 ,679318,$118.93 ,$119.85 ,$116.64 
5/22/2020,$114.40 ,348780,$114.42 ,$114.74 ,$113.38 
5/21/2020,$114.44 ,717476,$112.49 ,$115.29 ,$112.18 
5/20/2020,$113.01 ,609955,$112.78 ,$114.83 ,$111.74 
5/19/2020,$110.12 ,661428,$110.11 ,$112.91 ,$110.01 
5/18/2020,$111.41 ,898935,$108.65 ,$112.19 ,$107.43 
5/15/2020,$104.70 ,676839,$100 ,$104.90 ,$99.48 
5/14/2020,$100.67 ,500471,$96.18 ,$100.68 ,$95.27 
5/13/2020,$97.90 ,543840,$99.55 ,$101.70 ,$97.02 
5/12/2020,$99.73 ,497972,$103.91 ,$104.64 ,$99.65 
5/11/2020,$103.85 ,680375,$102.10 ,$104.84 ,$101.65 
5/8/2020,$103.86 ,414803,$101.37 ,$103.92 ,$100.87 
5/7/2020,$99.20 ,401928,$101.57 ,$102.24 ,$98.92 
5/6/2020,$99.50 ,628849,$99.75 ,$100.82 ,$98.43 
5/5/2020,$99.42 ,722889,$96.36 ,$100.58 ,$95.35 
5/4/2020,$94.41 ,628094,$92.32 ,$94.55 ,$90.30 
5/1/2020,$93.29 ,825168,$95.29 ,$96.57 ,$92.22 
4/30/2020,$97.44 ,1081885,$96.51 ,$102.36 ,$96.50 
4/29/2020,$103.68 ,694843,$101.50 ,$105.36 ,$100.05 
4/28/2020,$99.16 ,826194,$101.58 ,$102.30 ,$98.36 
4/27/2020,$98.85 ,1031987,$98.50 ,$101.57 ,$97.82 
4/24/2020,$97.55 ,626999,$98 ,$99.67 ,$97.12 
4/23/2020,$96.97 ,446652,$96.31 ,$99.81 ,$95.65 
4/22/2020,$96.68 ,335166,$96.78 ,$97.51 ,$95.51 
4/21/2020,$94.15 ,456368,$96.47 ,$98.29 ,$93.75 
4/20/2020,$99.37 ,422291,$97.57 ,$100.32 ,$97.02 
4/17/2020,$99.31 ,454583,$99.72 ,$100.50 ,$98.36 
4/16/2020,$96.49 ,723878,$96.77 ,$98.31 ,$94.72 
4/15/2020,$96.81 ,675861,$99 ,$99.99 ,$96.22 
4/14/2020,$102.08 ,632485,$102.43 ,$103.17 ,$99.48 
4/13/2020,$99.04 ,620761,$100.44 ,$101.61 ,$98.09 
4/9/2020,$101.34 ,781467,$98.12 ,$102.03 ,$96.60 
4/8/2020,$96.35 ,636092,$90.90 ,$96.82 ,$89.74 
4/7/2020,$89.64 ,561823,$95.37 ,$96.46 ,$89.23 
4/6/2020,$92 ,945912,$89.38 ,$94.78 ,$88.85 
4/3/2020,$84.66 ,477463,$85.73 ,$88.63 ,$83.30 
4/2/2020,$86.48 ,931173,$82.31 ,$88.43 ,$81.22 
4/1/2020,$83.03 ,813568,$88.04 ,$90.28 ,$82.16 
3/31/2020,$93.17 ,626540,$92.49 ,$93.82 ,$90.42 
3/30/2020,$93.53 ,715254,$89.31 ,$93.65 ,$88.45 
3/27/2020,$88.96 ,875083,$94.51 ,$94.85 ,$88.12 
3/26/2020,$96.37 ,738506,$89.26 ,$96.76 ,$87.69 
3/25/2020,$87.77 ,768560,$85.22 ,$90.67 ,$83.16 
3/24/2020,$85.71 ,841704,$84.49 ,$86.01 ,$80.05 
3/23/2020,$79.01 ,982322,$83.63 ,$85.65 ,$75.50 
3/20/2020,$84.78 ,1456197,$89.65 ,$94.57 ,$82.93 
3/19/2020,$88.60 ,1006856,$86.94 ,$88.99 ,$80.08 
3/18/2020,$88.53 ,1406683,$88.25 ,$91.52 ,$84.91 
3/17/2020,$94.80 ,1342782,$88.58 ,$95.74 ,$84.03 
3/16/2020,$87.37 ,1085656,$87.75 ,$91.42 ,$85.05 
3/13/2020,$99.51 ,1023752,$98.85 ,$99.90 ,$94.17 
3/12/2020,$94.40 ,1542157,$94.36 ,$94.44 ,$87.55 
3/11/2020,$102.08 ,779378,$104.31 ,$107 ,$99.65 
3/10/2020,$108.06 ,1020428,$104.10 ,$108.12 ,$98.41 
3/9/2020,$101.07 ,1169813,$103.48 ,$104.78 ,$100.43 
3/6/2020,$112 ,1011362,$112.80 ,$113.46 ,$108.97 
3/5/2020,$116.51 ,966245,$114.99 ,$118.52 ,$114.78 
3/4/2020,$118.08 ,1125350,$112.63 ,$118.86 ,$112.63 
3/3/2020,$111.24 ,1152391,$109.20 ,$112.98 ,$108.42 
3/2/2020,$108.91 ,876057,$103.97 ,$109 ,$103.36 
2/28/2020,$102.99 ,1289472,$101.48 ,$104.80 ,$100.03 
2/27/2020,$105.62 ,917010,$108.12 ,$110.18 ,$105.08 
2/26/2020,$110.87 ,912951,$107.99 ,$111.79 ,$107.66 
2/25/2020,$107.31 ,1077442,$113.56 ,$113.99 ,$107.05 
2/24/2020,$112.78 ,674859,$111.42 ,$113.59 ,$110.44 
2/21/2020,$116.19 ,565129,$115.98 ,$116.68 ,$114.43 
2/20/2020,$116.97 ,579699,$115.74 ,$117.92 ,$115.13 
2/19/2020,$116.26 ,1097013,$111.90 ,$116.38 ,$111.33 
2/18/2020,$111.10 ,878658,$112.45 ,$112.45 ,$110.12 
2/14/2020,$113.26 ,1531795,$116.38 ,$117.83 ,$111.88 
2/13/2020,$115.75 ,2358573,$112.58 ,$117.44 ,$112.29 
2/12/2020,$113.72 ,13312330,$110.31 ,$114.47 ,$110.20 
2/11/2020,$110.23 ,2807787,$110.30 ,$111.87 ,$109.91 
2/10/2020,$109.30 ,3175689,$106.27 ,$112.25 ,$106 
2/7/2020,$101.35 ,630121,$102.73 ,$102.74 ,$100.61 
2/6/2020,$102.92 ,687660,$103.79 ,$104.64 ,$102.08 
2/5/2020,$104.07 ,469012,$105.70 ,$105.70 ,$102.80 
2/4/2020,$104.28 ,530969,$104.79 ,$105.84 ,$102.71 
2/3/2020,$103.74 ,461895,$104.25 ,$105.02 ,$103.54 
1/31/2020,$103.59 ,591433,$106.94 ,$107.50 ,$103.26 
1/30/2020,$107.50 ,585458,$108.70 ,$110 ,$106.80 
1/29/2020,$109.68 ,506552,$107.32 ,$109.95 ,$107.23 
1/28/2020,$107.09 ,500071,$105.60 ,$107.31 ,$105.16 
1/27/2020,$104.98 ,680105,$104.76 ,$106.14 ,$103.65 
1/24/2020,$106.67 ,858662,$106.08 ,$107.63 ,$105.69 
1/23/2020,$102.99 ,368622,$102.32 ,$103.36 ,$100.69 
1/22/2020,$102.57 ,399942,$103.27 ,$103.91 ,$102 
1/21/2020,$102.41 ,315549,$103.32 ,$104.02 ,$101.78 
1/17/2020,$103.52 ,504812,$104.41 ,$105.41 ,$103.27 
1/16/2020,$103.92 ,484322,$102.98 ,$104.04 ,$102.56 
1/15/2020,$102.29 ,458417,$101.82 ,$103.90 ,$101.82 
1/14/2020,$102.14 ,386024,$100.65 ,$102.49 ,$100.28 
1/13/2020,$100.91 ,405949,$98.77 ,$101.03 ,$98.37 
1/10/2020,$98.73 ,516179,$99.44 ,$99.88 ,$98.29 
1/9/2020,$99.40 ,750834,$100.63 ,$100.76 ,$99.25 
1/8/2020,$100.03 ,718480,$102.68 ,$102.89 ,$99.97 
1/7/2020,$102.90 ,444624,$101.36 ,$102.93 ,$100.70 
1/6/2020,$101.25 ,395430,$100.83 ,$101.96 ,$100.35 
1/3/2020,$101.67 ,485355,$100.64 ,$102.22 ,$99.17 
1/2/2020,$102.01 ,388115,$101.38 ,$102.02 ,$100.07
